nazwa_stacji,szerokosc_geo,dlugosc_geo
Bedford Ave & Nassau Ave,40.72311651,-73.95212324
W 21 St & 6 Ave,40.74173969,-73.99415556
Kenmare St & Elizabeth St,40.72054,-73.9949
W 20 St & 10 Ave,40.745686,-74.005141
W 15 St & 10 Ave,40.742753828659026,-74.00747358798981
E 1 St & Bowery,40.72486122254819,-73.99213135242462
Peck Slip & South St,40.7075188830923,-74.00108054280281
W 25 St & 6 Ave,40.74395411,-73.99144871
N 6 St & Bedford Ave,40.71745169,-73.95850939
E 11 St & 3 Ave,40.73127,-73.98849
Murray St & West St,40.71503,-74.01246
Murray St & Greenwich St,40.71485150526251,-74.01122331619263
Fulton St & Clermont Ave,40.68415748,-73.96922273
Cliff St & Fulton St,40.70838,-74.00495
Vesey St & Church St,40.71221958009051,-74.01047229766846
W 47 St & 10 Ave,40.76269882,-73.99301222
N 10 St & Berry St,40.720253,-73.957082
E 4 St & 2 Ave,40.7262807,-73.98978041
W 15 St & 7 Ave,40.73935542,-73.99931783
W 27 St & 7 Ave,40.74665,-73.99392
Warren St & W Broadway,40.71473993,-74.00910627
Broad St & Bridge St,40.70365182,-74.01167797
Fulton St & Broadway,40.711066,-74.009447
Carroll St & Smith St,40.680611,-73.99475825
Washington St & Laight St,40.72231,-74.0106
Norfolk St & Broome St,40.7172274,-73.98802084
Hudson St & Reade St,40.71625008,-74.0091059
9 Ave & W 39 St,40.756403523272496,-73.99410143494606
Broadway & Morris St,40.705945132708806,-74.01321887969969
LaGuardia Pl & W 3 St,40.72917025,-73.99810231
10 St & 7 Ave,40.6662078,-73.98199886
Parkside Ave & Flatbush Ave,40.65563,-73.95968
William St & Pine St,40.70717936,-74.00887308
Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
E 15 St & 5 Ave,40.736592,-73.992949
Bus Slip & State St,40.701907,-74.013942
Broadway & W 53 St,40.76344058,-73.98268129
6 Ave & W 45 St,40.756951,-73.982631
8 Ave & W 31 St,40.7505853470215,-73.9946848154068
8 Ave & W 33 St,40.751551,-73.993934
E 58 St & Madison Ave,40.76302594280519,-73.97209525108337
Albany St & Greenwich St,40.709267,-74.013247
Centre St & Chambers St,40.71273266,-74.0046073
Harrison St & Hudson St,40.71870987,-74.0090009
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
W 42 St & 6 Ave,40.75492,-73.98455
Franklin Ave & Quincy St,40.68636,-73.95678
W 27 St & 6 Ave,40.74526,-73.99062
W 47 St & 9 Ave,40.76153045158114,-73.99007007479668
Great Jones St,40.72743423,-73.99379025
Barrow St & Hudson St,40.73172428,-74.00674436
W 20 St & 8 Ave,40.74345335,-74.00004031
Broadway & W 142 St,40.824686,-73.951947
Broadway & W 29 St,40.7462009,-73.98855723
E 27 St & 1 Ave,40.739445,-73.976806
Delancey St & Eldridge St,40.719383,-73.991479
Broadway & W 61 St,40.77003010255044,-73.9819684624672
3 Ave & E 71 St,40.76879,-73.9614
Park Ave & E 42 St,40.751873,-73.977706
Centre St & Worth St,40.71494807,-74.00234482
W 20 St & 11 Ave,40.746745,-74.007756
Broadway & W 48 St,40.76017739537783,-73.98486793041229
Park Ave & E 41 St,40.751581,-73.97791
Morton St & Greenwich St,40.73115,-74.00887
Central Park S & 6 Ave,40.76590936,-73.97634151
Rivington St & Chrystie St,40.72110063,-73.9919254
11 Ave & W 59 St,40.77149671054441,-73.99046033620834
E 55 St & 2 Ave,40.75797322,-73.96603308
Spruce St & Nassau St,40.71146364,-74.00552427
W 29 St & 9 Ave,40.7500727,-73.99839279
Maiden Ln & Pearl St,40.70706456,-74.00731853
W 82 St & Central Park W,40.78275,-73.97137
W 47 St & 6 Ave,40.758154,-73.981957
Mercer St & Bleecker St,40.72706363348306,-73.99662137031554
Old Slip & South St,40.70336686695866,-74.007867872715
Church St & Worth St,40.71688538495366,-74.00650128722191
Park Ave & E 40 St,40.75112,-73.97851
W 30 St & 10 Ave,40.752694,-74.002353
Nassau Ave & Russell St,40.72557,-73.94434
W 37 St & 5 Ave,40.75038009,-73.98338988
Columbus Ave & W 59 St,40.76931,-73.98464
DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037
Academy St & Nagle Ave,40.862562,-73.922661
Watts St & Greenwich St,40.72405549,-74.00965965
W 52 St & 5 Ave,40.75992262,-73.97648516
E 72 St & York Ave,40.76663814,-73.95348296
MacDougal St & Prince St,40.72710258,-74.00297088
W 44 St & 11 Ave,40.762009,-73.996975
